1E5FA800|000080E6|00001035|\snd\adx\mev\s001000_03_3all.adx
1E603000|00003FCA|00001044|\snd\adx\mev\s001000_04_1shi.adx
1E607000|000072B2|00001058|\snd\adx\mev\s001000_04_2_1shi.adx
1E60E800|000071A4|00001062|\snd\adx\mev\s001000_04_2_2shi.adx
1E616000|0000993A|00001076|\snd\adx\mev\s001000_05_1all.adx
1E620000|0000B72E|00001080|\snd\adx\mev\s001000_05_2all.adx
1E62B800|00009418|0000108A|\snd\adx\mev\s001000_05_3all.adx
1E635000|0000ACB4|0000109E|\snd\adx\mev\s001000_05_4_1all.adx
1E640000|000081D0|000010A8|\snd\adx\mev\s001000_05_4_2all.adx
1E648800|0000C8C2|000010B9|\snd\adx\mev\s001000_06_1_1shi.adx
1E655800|000060D6|000010C3|\snd\adx\mev\s001000_06_1_2shi.adx
1E65C000|00015076|000010D4|\snd\adx\mev\s001000_06_1shi.adx
1E671800|000098E0|000010E8|\snd\adx\mev\s001000_06_2_1shi.adx
1E67B800|00008AF4|000010F2|\snd\adx\mev\s001000_06_2_2shi.adx
1E684800|0000A62A|00001106|\snd\adx\mev\s001000_07_1all.adx
1E68F000|00005F4A|00001110|\snd\adx\mev\s001000_07_2all.adx
1E695000|0000F9B2|00001121|\snd\adx\mev\s001000_07all.adx
1E6A5000|00012460|0000112E|\snd\adx\mev\s001000_08shi.adx
1E6B7800|00007C30|0000113B|\snd\adx\mev\s001000_09all.adx
1E6BF800|00001F84|00001149|\snd\adx\mev\s001000_10shi.adx
1E6C1800|0000B242|00001156|\snd\adx\mev\s001000_11all.adx
1E6CD000|00007060|00001168|\snd\adx\mev\s001100_01shi.adx
1E6D4800|00017BEA|00001175|\snd\adx\mev\s001100_02kev.adx
1E6EC800|0000F154|00001182|\snd\adx\mev\s001100_03shi.adx
1E6FC000|00012F8E|00001196|\snd\adx\mev\s001100_04_1kev.adx
1E70F000|000116CE|000011A0|\snd\adx\mev\s001100_04_2kev.adx
1E720800|0000BA58|000011B4|\snd\adx\mev\s001100_04_3_1kev.adx
1E72C800|000073C0|000011BE|\snd\adx\mev\s001100_04_3_2kev.adx
1E734000|00005B00|000011D0|\snd\adx\mev\s001100_05shi.adx
1E73A000|0000754C|000011DD|\snd\adx\mev\s001100_06kev.adx
1E741800|00008D58|000011EA|\snd\adx\mev\s001100_07shi.adx
1E74A800|00013F72|000011F4|\snd\adx\mev\s001100_08shi.adx
1E75E800|00006826|00001201|\snd\adx\mev\s001100_09kev.adx
1E765800|0000E2FC|00001216|\snd\adx\mev\s001100_10_1shi.adx
1E774000|00008674|00001220|\snd\adx\mev\s001100_10_2shi.adx
1E77C800|00017F14|00001231|\snd\adx\mev\s001100_10shi.adx
1E794800|00006FD0|00001245|\snd\adx\mev\s001100_11_1kev.adx
1E79B800|0000F400|0000124F|\snd\adx\mev\s001100_11_2kev.adx
1E7AB000|00007F5A|00001259|\snd\adx\mev\s001100_11_3kev.adx
1E7B3000|00014512|00001263|\snd\adx\mev\s001100_11_4kev.adx
1E7C7800|00002D16|00001275|\snd\adx\mev\s001100_12shi.adx
1E7CA800|0000E638|00001289|\snd\adx\mev\s001100_13_1kev.adx
1E7D9000|00006C5E|00001293|\snd\adx\mev\s001100_13_2kev.adx
1E7E0000|0000ED88|0000129D|\snd\adx\mev\s001100_13_3kev.adx
1E7EF000|000044DA|000012A7|\snd\adx\mev\s001100_13_4kev.adx
1E7F3800|00009502|000012B9|\snd\adx\mev\s001100_14shi.adx
1E7FD000|0001376E|000012C6|\snd\adx\mev\s001100_15kev.adx
1E810800|00008530|000012DA|\snd\adx\mev\s001100_16_1shi.adx
1E819000|0000C36A|000012E4|\snd\adx\mev\s001100_16_2shi.adx
1E825800|0000EF5C|000012F5|\snd\adx\mev\s001200_01_1shi.adx
1E834800|0001BA90|000012FF|\snd\adx\mev\s001200_01_2shi.adx
1E850800|0001563A|0000130B|\snd\adx\mev\s001200_02_1shi.adx
1E866000|00013618|00001315|\snd\adx\mev\s001200_02_2shi.adx
1E879800|0000C2B6|0000131F|\snd\adx\mev\s001200_02_3shi.adx
1E886000|000072D6|00001329|\snd\adx\mev\s001200_02_4shi.adx
1E88D800|00009CE2|00001340|\snd\adx\mev\s001300_01kev.adx
1E897800|0001122A|0000134D|\snd\adx\mev\s001300_02wil.adx
1E8A9000|000092E6|0000135A|\snd\adx\mev\s001300_03kev.adx
1E8B2800|000121C6|0000136E|\snd\adx\mev\s001300_04_1wil.adx
1E8C5000|0001C08A|00001378|\snd\adx\mev\s001300_04_2wil.adx
1E8E1800|00009904|00001382|\snd\adx\mev\s001300_04_3wil.adx
1E8EB800|0000B7BE|0000138E|\snd\adx\mev\s001300_05_1wil.adx
1E8F7000|0000A09C|00001398|\snd\adx\mev\s001300_05_2wil.adx
1E901800|00003940|000013A7|\snd\adx\mev\s001300_06_1kev.adx
1E905800|0000766C|000013B1|\snd\adx\mev\s001300_06_2kev.adx
1E90D000|0000AC36|000013BB|\snd\adx\mev\s001300_06_3kev.adx
1E918000|00009C64|000013CD|\snd\adx\mev\s001300_07kev.adx
1E922000|000165E8|000013E1|\snd\adx\mev\s001300_08_1wil.adx
1E938800|0001148E|000013EB|\snd\adx\mev\s001300_08_2wil.adx
1E94A000|0000E6DA|000013F5|\snd\adx\mev\s001300_08_3wil.adx
1E958800|00008CC8|00001401|\snd\adx\mev\s001300_09_1wil.adx
1E961800|0000D83A|0000140B|\snd\adx\mev\s001300_09_2wil.adx
1E96F800|0000C478|00001415|\snd\adx\mev\s001300_09_3wil.adx
1E97C000|00014416|00001428|\snd\adx\mev\s001300_10kev.adx
1E990800|0001309C|00001435|\snd\adx\mev\s001300_11wil.adx
1E9A4000|00004DEC|00001442|\snd\adx\mev\s001300_12kev.adx
1E9A9000|000068EC|00001456|\snd\adx\mev\s010010_01jul.adx
1E9B0000|00017692|0000146A|\snd\adx\mev\s010010_02_1hel.adx
1E9C7800|0001124E|00001474|\snd\adx\mev\s010010_02_2hel.adx
1E9D9000|0000766C|00001482|\snd\adx\mev\s010010_03_1jul.adx
1E9E0800|0000CDF6|0000148C|\snd\adx\mev\s010010_03_2jul.adx
1E9ED800|00014CCE|0000149A|\snd\adx\mev\s010010_04_1hel.adx
1EA02800|0000D372|000014A4|\snd\adx\mev\s010010_04_2hel.adx
1EA10000|00014254|000014AE|\snd\adx\mev\s010010_04_3hel.adx
1EA24800|00013CEA|000014BC|\snd\adx\mev\s010010_05_1jul.adx
1EA38800|00011D58|000014C6|\snd\adx\mev\s010010_05_2jul.adx
1EA4A800|00005F26|000014D0|\snd\adx\mev\s010010_05_3jul.adx
1EA50800|000096C4|000014DE|\snd\adx\mev\s010010_06_1hel.adx
1EA5A000|000102C4|000014E8|\snd\adx\mev\s010010_06_2hel.adx
1EA6A800|0000A6A8|000014F6|\snd\adx\mev\s010010_07_1jul.adx
1EA75000|00013420|00001500|\snd\adx\mev\s010010_07_2jul.adx
